College_Name,State,District,UG_Fee,PG_Fee,Ratings,Academics,Accommodation,Faculty,Infrastructure,Placement,Social_Life,Gender,12th_Percentage,Entrance_Exam_Name,Entrance_Exam_Rank,Preferred_Stream,Preferred_Course,Scholarship_Status,Application_Start_Date,Application_End_Date,Contact,Email
SRM Institute,Punjab,Chandigarh,260947,129665,3.9,5,3,4,4,5,4,Male,79.2,JEE,16998,Engineering,Civil,No,2025-01-27,2025-04-03,+919955355463,srminstitute@edu.in
Anna University,Gujarat,Ahmedabad,75046,329384,4.3,4,4,4,5,3,5,Female,75.7,CUET,47977,Commerce,BBA,Yes,2025-05-08,2025-06-16,+917992290870,annauniversity@edu.in
IIT Delhi,Karnataka,Bangalore,131203,178269,4.7,4,4,4,3,3,5,Male,84.0,NEET,41892,Engineering,Civil,No,2025-04-20,2025-06-21,+917452838817,iitdelhi@edu.in
IIT Bombay,Maharashtra,Nagpur,166056,98177,4.2,4,4,4,5,3,3,Male,65.2,NEET,20714,Arts,BJMC,No,2025-05-02,2025-06-28,+917720861628,iitbombay@edu.in
Mumbai University,Tamil Nadu,Madurai,72104,155863,4.8,4,5,5,5,5,4,Male,73.1,NEET,5394,Engineering,Mechanical,No,2025-02-11,2025-04-03,+918770708969,mumbaiuniversity@edu.in
Amity University,Uttar Pradesh,Lucknow,58076,397328,3.1,4,4,3,3,4,4,Female,96.5,JEE,40842,Arts,BA,Yes,2025-06-14,2025-09-04,+919874611934,amityuniversity@edu.in
IIT Delhi,Punjab,Chandigarh,216458,96264,4.2,4,4,4,4,4,4,Female,68.3,NEET,38537,Arts,BJMC,Yes,2025-06-14,2025-08-14,+918415774877,iitdelhi@edu.in
Jadavpur University,Rajasthan,Jaipur,226548,397189,4.8,4,4,4,4,5,4,Male,79.5,CET,8701,Engineering,Civil,Yes,2025-02-07,2025-03-18,+919111591960,jadavpuruniversity@edu.in
VIT Vellore,Karnataka,Mysore,272606,317874,3.3,5,3,5,3,4,5,Female,68.8,CET,34925,Arts,BJMC,No,2025-01-11,2025-03-20,+918993717491,vitvellore@edu.in
IIT Delhi,Uttar Pradesh,Noida,113237,303044,4.6,3,5,4,3,4,3,Female,72.0,CUET,5100,Medical,MBBS,Yes,2025-01-04,2025-03-23,+919022802261,iitdelhi@edu.in
Mumbai University,Maharashtra,Pune,65126,371211,3.1,3,5,4,4,3,5,Female,65.6,NEET,15310,Arts,BJMC,Yes,2025-05-18,2025-07-01,+919312328221,mumbaiuniversity@edu.in
BITS Pilani,Maharashtra,Mumbai,211520,198996,4.0,4,5,5,4,4,4,Male,93.0,CET,29669,Commerce,BBA,No,2025-05-27,2025-08-03,+919068071870,bitspilani@edu.in
IIT Delhi,West Bengal,Kolkata,106060,350878,4.3,4,3,3,5,4,5,Female,65.0,NEET,43954,Medical,BDS,No,2025-06-27,2025-09-20,+917448423744,iitdelhi@edu.in
Mumbai University,Punjab,Chandigarh,84386,397961,3.8,5,4,4,3,5,3,Female,86.0,CET,21116,Engineering,CSE,Yes,2025-06-20,2025-08-10,+919953697749,mumbaiuniversity@edu.in
NIT Trichy,West Bengal,Kolkata,159882,254955,4.7,4,3,3,4,4,4,Female,66.6,JEE,28996,Arts,BA,No,2025-02-26,2025-04-02,+917886816924,nittrichy@edu.in
IIT Delhi,Maharashtra,Pune,119685,76908,4.8,3,4,4,3,5,5,Male,76.1,JEE,44572,Arts,BJMC,No,2025-06-07,2025-08-21,+918333982476,iitdelhi@edu.in
Anna University,Karnataka,Mysore,113558,151134,4.4,4,5,4,4,5,4,Male,85.6,CUET,1527,Commerce,BCom,Yes,2025-03-01,2025-04-29,+918017147966,annauniversity@edu.in
NIT Trichy,Maharashtra,Mumbai,292221,234145,3.0,5,5,5,3,4,5,Male,82.6,CUET,43569,Medical,BDS,No,2025-05-23,2025-07-17,+917338813083,nittrichy@edu.in
Delhi University,Rajasthan,Jaipur,103199,379938,3.9,5,4,5,5,5,3,Male,72.0,NEET,44286,Engineering,Civil,No,2025-04-24,2025-06-09,+918622435873,delhiuniversity@edu.in
IIT Bombay,Uttar Pradesh,Noida,72474,357154,3.9,4,3,5,4,5,4,Female,87.3,CET,13745,Medical,MBBS,No,2025-01-06,2025-02-12,+917892012339,iitbombay@edu.in
Jadavpur University,Tamil Nadu,Madurai,141830,157740,4.0,4,4,4,3,3,4,Male,78.6,CUET,10886,Engineering,ECE,Yes,2025-02-10,2025-04-03,+918094897368,jadavpuruniversity@edu.in
BITS Pilani,West Bengal,Kolkata,129209,279053,4.6,4,4,4,4,3,5,Female,79.3,NEET,43822,Medical,MBBS,Yes,2025-06-13,2025-07-26,+917347887466,bitspilani@edu.in
Amity University,West Bengal,Kolkata,289381,157284,4.5,5,4,3,3,5,5,Male,79.0,NEET,16703,Medical,MBBS,Yes,2025-02-22,2025-05-23,+919828620287,amityuniversity@edu.in
BITS Pilani,Tamil Nadu,Madurai,98437,320389,4.1,4,3,3,3,5,4,Male,83.1,JEE,11874,Arts,BA,Yes,2025-01-16,2025-04-15,+918080440659,bitspilani@edu.in
IIT Bombay,Maharashtra,Nagpur,226812,353452,4.8,4,3,5,5,5,3,Female,96.6,CET,8207,Commerce,BCom,No,2025-03-06,2025-05-15,+919515930187,iitbombay@edu.in
Jadavpur University,Uttar Pradesh,Lucknow,213181,215283,3.9,5,3,5,5,5,4,Male,72.1,CET,29112,Engineering,Mechanical,No,2025-02-25,2025-05-25,+919659267713,jadavpuruniversity@edu.in
IIT Delhi,Punjab,Chandigarh,184936,128211,3.4,3,3,3,3,3,5,Female,66.1,JEE,28298,Commerce,BBA,Yes,2025-01-14,2025-03-23,+919417110770,iitdelhi@edu.in
Amity University,Gujarat,Surat,106234,385727,4.5,5,5,4,5,3,4,Female,92.4,JEE,49302,Engineering,ECE,No,2025-04-06,2025-06-04,+917033220336,amityuniversity@edu.in
Delhi University,Karnataka,Bangalore,288009,71802,3.7,4,4,5,5,4,5,Male,76.8,JEE,40089,Commerce,BBA,Yes,2025-04-16,2025-06-03,+919184407413,delhiuniversity@edu.in
Mumbai University,Uttar Pradesh,Lucknow,70771,358989,4.4,5,5,4,4,3,5,Male,70.8,JEE,39205,Engineering,Civil,Yes,2025-04-22,2025-07-19,+919865307700,mumbaiuniversity@edu.in
Anna University,Punjab,Chandigarh,205468,325808,4.6,5,3,3,3,3,4,Male,78.9,JEE,31464,Engineering,CSE,Yes,2025-02-24,2025-05-08,+917326149989,annauniversity@edu.in
Mumbai University,Delhi,New Delhi,280675,131824,4.7,5,5,5,4,5,3,Male,89.2,CET,6161,Engineering,ECE,No,2025-06-08,2025-08-16,+919341181551,mumbaiuniversity@edu.in
BITS Pilani,Tamil Nadu,Chennai,107624,366163,4.2,5,4,5,5,3,3,Female,71.6,CUET,18255,Arts,BA,No,2025-04-26,2025-07-18,+917500093603,bitspilani@edu.in
NIT Trichy,West Bengal,Kolkata,239848,85632,3.6,4,5,4,4,4,3,Male,87.7,CET,16078,Engineering,CSE,Yes,2025-02-05,2025-03-27,+917643431004,nittrichy@edu.in
Amity University,West Bengal,Kolkata,293998,361107,4.4,4,5,4,5,5,5,Male,89.9,JEE,41927,Commerce,BCom,No,2025-05-18,2025-07-02,+918589275496,amityuniversity@edu.in
Jadavpur University,Karnataka,Bangalore,201472,142292,3.2,3,4,3,3,5,5,Female,93.8,NEET,19197,Engineering,Mechanical,Yes,2025-04-11,2025-06-09,+917417248159,jadavpuruniversity@edu.in
IIT Bombay,Gujarat,Surat,286891,202641,5.0,4,5,3,4,4,3,Female,89.2,CET,10000,Commerce,BCom,Yes,2025-02-19,2025-04-13,+919205891099,iitbombay@edu.in
Christ University,Tamil Nadu,Coimbatore,267750,394213,3.5,5,4,5,3,3,3,Male,80.8,JEE,11083,Commerce,BBA,No,2025-05-02,2025-06-06,+917877487348,christuniversity@edu.in
Anna University,Maharashtra,Mumbai,272110,164084,3.0,3,3,5,3,5,5,Female,80.7,NEET,20847,Engineering,Civil,Yes,2025-05-09,2025-06-27,+918779539266,annauniversity@edu.in
BITS Pilani,Punjab,Chandigarh,286065,295762,3.4,5,3,3,3,4,3,Female,84.4,CUET,30178,Arts,BA,No,2025-05-18,2025-06-18,+918026261054,bitspilani@edu.in
IIT Bombay,Delhi,New Delhi,85943,90487,3.1,5,3,4,4,5,5,Male,73.6,JEE,7804,Engineering,ECE,No,2025-02-01,2025-04-12,+917680939126,iitbombay@edu.in
Amity University,Punjab,Chandigarh,103528,163801,4.9,3,5,4,3,3,4,Male,88.7,JEE,30378,Arts,BA,Yes,2025-05-14,2025-06-25,+919569068046,amityuniversity@edu.in
Anna University,Delhi,New Delhi,168367,300556,4.8,4,3,3,4,5,4,Female,96.3,CUET,11950,Medical,MBBS,Yes,2025-02-19,2025-05-14,+917556985808,annauniversity@edu.in
Amity University,Maharashtra,Nagpur,113437,398376,3.8,5,4,5,3,3,3,Female,89.9,CET,10,Medical,MBBS,No,2025-05-15,2025-07-01,+919317856248,amityuniversity@edu.in
Anna University,Tamil Nadu,Chennai,182521,300075,4.2,3,4,5,3,3,3,Female,83.2,NEET,383,Arts,BJMC,No,2025-04-01,2025-05-27,+919809831540,annauniversity@edu.in
Delhi University,Delhi,New Delhi,173956,199956,4.8,4,4,5,4,5,3,Female,69.5,CUET,13893,Engineering,Mechanical,No,2025-03-10,2025-04-30,+917127684922,delhiuniversity@edu.in
Anna University,Rajasthan,Jaipur,252643,294939,4.2,3,3,4,4,5,4,Female,86.3,JEE,33168,Arts,BJMC,Yes,2025-02-12,2025-05-07,+918505289011,annauniversity@edu.in
VIT Vellore,West Bengal,Kolkata,208256,249948,3.1,5,4,3,5,3,3,Female,95.9,CET,22230,Commerce,BBA,Yes,2025-05-11,2025-06-21,+917642179178,vitvellore@edu.in
Delhi University,Gujarat,Ahmedabad,203290,275869,3.6,4,5,5,5,4,4,Male,97.0,JEE,39541,Arts,BJMC,No,2025-02-19,2025-04-24,+918265528902,delhiuniversity@edu.in
Mumbai University,Delhi,New Delhi,226147,95271,4.4,5,5,3,3,5,3,Female,81.2,JEE,31933,Medical,MBBS,Yes,2025-04-16,2025-07-13,+919438087217,mumbaiuniversity@edu.in
Mumbai University,Rajasthan,Jaipur,148118,346991,4.5,5,4,3,3,5,5,Male,68.2,NEET,49833,Arts,BA,Yes,2025-04-22,2025-07-09,+919267258118,mumbaiuniversity@edu.in
Anna University,West Bengal,Kolkata,100140,183765,3.3,3,5,3,4,3,5,Male,74.6,JEE,27334,Engineering,ECE,Yes,2025-02-20,2025-04-09,+918097237282,annauniversity@edu.in
BITS Pilani,Tamil Nadu,Chennai,219608,275657,4.4,5,3,5,3,3,3,Female,67.6,NEET,14528,Engineering,CSE,No,2025-06-13,2025-08-02,+918158890018,bitspilani@edu.in
SRM Institute,Delhi,New Delhi,263572,179944,4.2,3,5,3,4,4,4,Female,74.1,NEET,49487,Commerce,BBA,No,2025-02-08,2025-04-22,+919848492645,srminstitute@edu.in
Anna University,Maharashtra,Mumbai,146212,282013,4.9,5,4,3,4,4,4,Male,82.4,CET,13248,Engineering,CSE,No,2025-03-25,2025-04-24,+919312526860,annauniversity@edu.in
IIT Delhi,Gujarat,Surat,248416,271208,3.3,3,3,3,5,3,3,Male,74.6,NEET,43458,Medical,MBBS,No,2025-05-12,2025-07-04,+918820633556,iitdelhi@edu.in
Jadavpur University,Delhi,New Delhi,155586,196971,3.2,4,4,5,4,4,3,Female,87.0,CUET,47595,Arts,BJMC,No,2025-02-20,2025-04-17,+918072331018,jadavpuruniversity@edu.in
Christ University,West Bengal,Kolkata,221435,320991,3.3,3,5,5,5,3,5,Female,82.1,NEET,29022,Engineering,CSE,No,2025-01-24,2025-04-05,+918331294367,christuniversity@edu.in
IIT Bombay,Uttar Pradesh,Noida,58817,322566,4.0,3,3,4,3,5,3,Female,77.6,JEE,47145,Arts,BJMC,Yes,2025-06-14,2025-08-31,+918988579975,iitbombay@edu.in
IIT Delhi,Rajasthan,Jaipur,247529,191251,3.4,4,3,4,5,5,5,Male,72.5,NEET,4099,Medical,BDS,No,2025-01-08,2025-03-22,+919428221722,iitdelhi@edu.in
VIT Vellore,Karnataka,Mysore,220676,259172,4.5,5,5,3,3,5,4,Female,95.5,CUET,31445,Arts,BA,Yes,2025-02-08,2025-05-04,+918377558331,vitvellore@edu.in
Amity University,Tamil Nadu,Coimbatore,261027,286668,4.3,3,3,4,4,4,5,Female,97.8,NEET,15703,Commerce,BCom,No,2025-03-13,2025-05-21,+919746253726,amityuniversity@edu.in
IIT Delhi,Rajasthan,Jaipur,192377,174788,4.1,4,5,5,5,5,3,Female,66.4,CUET,1246,Commerce,BCom,No,2025-02-22,2025-03-27,+918229042534,iitdelhi@edu.in
Delhi University,Delhi,New Delhi,231375,105270,4.3,5,4,5,4,3,5,Male,85.2,NEET,41114,Engineering,ECE,Yes,2025-06-03,2025-07-19,+917867242283,delhiuniversity@edu.in
Jadavpur University,Maharashtra,Pune,62936,245182,4.5,5,4,4,5,4,5,Male,68.8,JEE,16552,Commerce,BBA,Yes,2025-01-26,2025-03-04,+919173615173,jadavpuruniversity@edu.in
Anna University,Karnataka,Bangalore,64478,256884,4.6,4,3,5,3,5,4,Male,83.0,CET,32355,Medical,BDS,Yes,2025-02-24,2025-05-14,+918053952941,annauniversity@edu.in
IIT Bombay,West Bengal,Kolkata,143350,253129,4.6,4,3,4,4,4,5,Female,96.8,NEET,48594,Commerce,BCom,Yes,2025-02-13,2025-04-03,+918828418611,iitbombay@edu.in
Anna University,Gujarat,Surat,164637,136072,3.2,3,4,3,4,4,3,Male,76.6,NEET,6189,Commerce,BBA,Yes,2025-02-01,2025-04-29,+919362111336,annauniversity@edu.in
NIT Trichy,Delhi,New Delhi,131287,175718,4.2,5,3,5,4,4,3,Female,73.6,CUET,794,Arts,BA,No,2025-05-14,2025-06-15,+919907685942,nittrichy@edu.in
Delhi University,Maharashtra,Mumbai,83228,288561,3.5,4,4,3,5,3,3,Male,70.1,CET,46602,Engineering,Mechanical,No,2025-04-17,2025-06-18,+918318326584,delhiuniversity@edu.in
BITS Pilani,Maharashtra,Nagpur,63700,386141,3.1,4,3,4,5,3,3,Male,88.6,CUET,40420,Engineering,ECE,Yes,2025-03-26,2025-05-14,+918850628209,bitspilani@edu.in
VIT Vellore,Punjab,Chandigarh,269700,81243,4.9,5,5,4,5,3,3,Female,91.3,NEET,47789,Arts,BJMC,Yes,2025-05-25,2025-07-26,+919357406283,vitvellore@edu.in
NIT Trichy,West Bengal,Kolkata,107896,218684,5.0,4,4,4,5,3,4,Female,78.1,NEET,31146,Arts,BA,Yes,2025-03-09,2025-05-17,+917723400957,nittrichy@edu.in
Delhi University,Gujarat,Ahmedabad,185378,226728,3.4,4,3,5,4,3,3,Female,66.0,CUET,7031,Engineering,ECE,No,2025-02-19,2025-04-13,+919907476912,delhiuniversity@edu.in
IIT Delhi,Punjab,Chandigarh,149566,213523,3.5,5,5,3,4,5,3,Female,68.8,CET,3191,Arts,BJMC,Yes,2025-06-24,2025-07-29,+918987897400,iitdelhi@edu.in
BITS Pilani,Punjab,Chandigarh,237815,101535,4.8,3,3,3,4,5,5,Female,71.3,CUET,46422,Medical,MBBS,No,2025-05-25,2025-07-20,+917541531919,bitspilani@edu.in
Christ University,Rajasthan,Jaipur,127924,382452,4.6,4,3,3,3,5,4,Male,70.4,CUET,9810,Engineering,Mechanical,Yes,2025-02-25,2025-04-15,+919018505991,christuniversity@edu.in
Mumbai University,Karnataka,Mysore,53246,336159,3.9,4,4,5,4,3,3,Female,85.7,CET,24009,Medical,MBBS,Yes,2025-06-08,2025-08-04,+919576829981,mumbaiuniversity@edu.in
VIT Vellore,Uttar Pradesh,Lucknow,188683,365057,4.4,3,3,3,4,3,3,Male,85.1,CET,15917,Medical,MBBS,Yes,2025-03-11,2025-04-20,+918266730212,vitvellore@edu.in
BITS Pilani,Delhi,New Delhi,282249,199312,3.6,5,4,4,4,4,4,Female,90.9,JEE,38007,Commerce,BBA,No,2025-06-18,2025-08-05,+918329231816,bitspilani@edu.in
VIT Vellore,Rajasthan,Jaipur,91294,201108,4.4,3,4,5,4,4,3,Male,81.9,NEET,14106,Medical,BDS,No,2025-05-20,2025-07-20,+918973028646,vitvellore@edu.in
Delhi University,Tamil Nadu,Coimbatore,95851,185804,4.1,3,3,5,3,3,5,Male,90.9,NEET,14503,Medical,MBBS,Yes,2025-04-13,2025-05-17,+918129613470,delhiuniversity@edu.in
Delhi University,Maharashtra,Mumbai,76787,75825,4.9,3,3,5,4,5,3,Female,95.0,JEE,40023,Arts,BJMC,Yes,2025-01-11,2025-02-27,+919920108227,delhiuniversity@edu.in
Anna University,Punjab,Chandigarh,185436,178290,4.0,5,4,3,5,5,5,Female,68.0,CUET,39174,Engineering,Civil,No,2025-05-01,2025-06-08,+919771440980,annauniversity@edu.in
Amity University,Karnataka,Mysore,92121,213041,3.4,3,4,4,4,3,4,Female,89.4,NEET,19205,Engineering,ECE,No,2025-01-13,2025-03-22,+919507030005,amityuniversity@edu.in
NIT Trichy,Uttar Pradesh,Noida,147332,201324,3.5,3,3,5,5,5,3,Male,74.8,CUET,34126,Engineering,Mechanical,Yes,2025-06-02,2025-07-02,+919321679987,nittrichy@edu.in
VIT Vellore,West Bengal,Kolkata,73495,91836,3.4,4,4,5,5,4,5,Male,66.5,CET,44264,Arts,BJMC,No,2025-06-06,2025-07-07,+917211524016,vitvellore@edu.in
Christ University,Tamil Nadu,Madurai,201645,207898,4.8,4,4,5,4,4,3,Female,76.7,JEE,44474,Medical,MBBS,No,2025-01-11,2025-03-27,+919180640668,christuniversity@edu.in
Anna University,Tamil Nadu,Coimbatore,168132,187338,4.5,3,5,5,3,4,4,Male,66.7,JEE,9352,Arts,BJMC,No,2025-04-05,2025-07-02,+918637526037,annauniversity@edu.in
IIT Delhi,Gujarat,Ahmedabad,202551,80946,4.5,3,3,4,5,4,3,Female,90.3,CUET,445,Commerce,BBA,Yes,2025-04-05,2025-06-03,+918557763463,iitdelhi@edu.in
NIT Trichy,Maharashtra,Nagpur,109759,259181,3.9,5,5,5,3,3,5,Female,65.7,CET,4413,Medical,MBBS,Yes,2025-03-25,2025-05-29,+918406126839,nittrichy@edu.in
Delhi University,Maharashtra,Pune,162694,390401,4.8,4,3,5,5,5,3,Male,75.0,CUET,37000,Arts,BJMC,Yes,2025-03-21,2025-06-14,+918265852075,delhiuniversity@edu.in
SRM Institute,Tamil Nadu,Coimbatore,280936,211669,3.6,5,3,3,4,5,4,Male,66.7,CET,40884,Medical,MBBS,Yes,2025-01-11,2025-03-26,+917621684989,srminstitute@edu.in
IIT Bombay,Uttar Pradesh,Lucknow,200264,247643,3.1,4,5,3,3,4,3,Male,88.7,JEE,42754,Commerce,BBA,Yes,2025-04-07,2025-05-17,+919656434328,iitbombay@edu.in
Anna University,Gujarat,Surat,101466,222643,4.6,3,5,5,4,5,4,Male,74.7,JEE,49513,Commerce,BBA,Yes,2025-05-10,2025-06-23,+919561241461,annauniversity@edu.in
NIT Trichy,Tamil Nadu,Madurai,249208,170619,3.4,5,3,3,4,5,5,Female,72.9,CUET,38611,Medical,BDS,Yes,2025-06-15,2025-07-25,+918449629303,nittrichy@edu.in
Christ University,Delhi,New Delhi,275509,353033,3.6,4,5,5,4,3,5,Female,86.4,NEET,7139,Arts,BJMC,Yes,2025-01-27,2025-03-10,+917416640172,christuniversity@edu.in
IIT Bombay,Maharashtra,Pune,289124,321582,3.2,5,5,3,4,3,3,Male,77.9,CUET,35317,Commerce,BBA,No,2025-05-13,2025-06-16,+919583473821,iitbombay@edu.in
Delhi University,Uttar Pradesh,Noida,113338,348497,4.2,4,5,3,3,5,4,Female,81.3,CET,8520,Arts,BJMC,Yes,2025-05-02,2025-07-30,+919328579666,delhiuniversity@edu.in
NIT Trichy,Uttar Pradesh,Noida,113985,372989,4.3,3,4,4,5,4,4,Female,97.2,CET,43170,Medical,MBBS,Yes,2025-04-20,2025-06-04,+918183807980,nittrichy@edu.in
IIT Bombay,Rajasthan,Jaipur,211433,101726,4.0,4,3,5,3,4,3,Male,72.7,JEE,19580,Engineering,Civil,Yes,2025-01-21,2025-02-22,+917722222738,iitbombay@edu.in
